Rank,Name,Price,24h Change,Market Cap,Timestamp
1,Bitcoin,"$101,584.80",4.98%,"$2,026,020,345,802",05-11-2025 09:59
2,Ethereum,"$3,315.86",8.83%,"$400,215,840,570",05-11-2025 09:59
3,Tether,$0.9998,0.01%,"$183,410,304,871",05-11-2025 09:59
4,XRP,$2.23,4.97%,"$134,298,935,946",05-11-2025 09:59
5,BNB,$944.73,5.26%,"$130,125,359,200",05-11-2025 09:59
6,Solana,$156.06,6.15%,"$86,260,904,579",05-11-2025 09:59
7,USDC,$0.9997,0.01%,"$75,047,076,838",05-11-2025 09:59
8,TRON,$0.2855,0.27%,"$27,030,977,568",05-11-2025 09:59
9,Dogecoin,$0.1639,3.90%,"$24,856,439,029",05-11-2025 09:59
10,Cardano,$0.5299,5.50%,"$19,002,547,298",05-11-2025 09:59
1,Bitcoin,"$102,607.73",0.07%,"$2,046,530,382,461",06-11-2025 18:31
2,Ethereum,"$3,351.12",0.18%,"$404,470,937,580",06-11-2025 18:31
3,Tether,$0.9997,0.02%,"$183,405,003,559",06-11-2025 18:31
4,XRP,$2.28,1.48%,"$137,063,482,569",06-11-2025 18:31
5,BNB,$943.88,0.90%,"$130,009,016,467",06-11-2025 18:31
6,Solana,$157.55,0.43%,"$87,088,145,803",06-11-2025 18:31
7,USDC,$0.9998,0.00%,"$75,223,023,924",06-11-2025 18:31
8,TRON,$0.2863,0.19%,"$27,103,940,234",06-11-2025 18:31
9,Dogecoin,$0.1613,1.72%,"$24,468,745,136",06-11-2025 18:31
10,Cardano,$0.5299,1.47%,"$19,006,061,018",06-11-2025 18:31
1,Bitcoin,"$103,419.56",0.88%,"$2,062,724,860,586",2025-11-06 18:56:10
2,Ethereum,"$3,391.33",1.74%,"$409,324,745,660",2025-11-06 18:56:10
3,Tether,$0.9996,0.02%,"$183,389,706,465",2025-11-06 18:56:10
4,XRP,$2.30,2.49%,"$138,327,520,155",2025-11-06 18:56:10
5,BNB,$948.60,0.53%,"$130,658,253,589",2025-11-06 18:56:10
6,Solana,$160.61,1.59%,"$88,779,898,728",2025-11-06 18:56:10
7,USDC,$0.9997,0.01%,"$75,138,862,420",2025-11-06 18:56:10
8,TRON,$0.2870,0.07%,"$27,178,419,603",2025-11-06 18:56:10
9,Dogecoin,$0.1630,0.68%,"$24,720,050,930",2025-11-06 18:56:10
10,Cardano,$0.5362,0.10%,"$19,234,648,469",2025-11-06 18:56:10
1,Bitcoin,"$102,269.25",1.09%,"$2,039,783,374,461",2025-11-06 20:23:28
2,Ethereum,"$3,332.90",0.68%,"$402,272,356,094",2025-11-06 20:23:28
3,Tether,$0.9995,0.04%,"$183,380,342,533",2025-11-06 20:23:28
4,XRP,$2.27,0.15%,"$136,501,010,162",2025-11-06 20:23:28
5,BNB,$938.16,2.04%,"$129,220,858,898",2025-11-06 20:23:28
6,Solana,$158.39,0.37%,"$87,549,413,623",2025-11-06 20:23:28
7,USDC,$0.9998,0.02%,"$74,964,862,291",2025-11-06 20:23:28
8,TRON,$0.2849,0.88%,"$26,977,236,269",2025-11-06 20:23:28
9,Dogecoin,$0.1610,2.81%,"$24,417,937,291",2025-11-06 20:23:28
10,Cardano,$0.5291,2.42%,"$18,980,017,298",2025-11-06 20:23:28
1,Bitcoin,"$105,032.59",0.42%,"$2,095,339,069,186",2025-11-12 18:32:02
2,Ethereum,"$3,551.63",0.21%,"$428,670,132,574",2025-11-12 18:32:02
3,Tether,$0.9997,0.02%,"$183,458,767,390",2025-11-12 18:32:02
4,XRP,$2.44,0.62%,"$146,843,030,543",2025-11-12 18:32:02
5,BNB,$973.10,0.80%,"$134,032,811,469",2025-11-12 18:32:02
6,Solana,$159.80,2.21%,"$88,514,544,949",2025-11-12 18:32:02
7,USDC,$0.9999,0.01%,"$76,046,025,894",2025-11-12 18:32:02
8,TRON,$0.3008,0.79%,"$28,478,354,647",2025-11-12 18:32:02
9,Dogecoin,$0.1763,0.49%,"$26,764,009,924",2025-11-12 18:32:02
10,Cardano,$0.5760,0.43%,"$20,663,612,239",2025-11-12 18:32:02
1,Bitcoin,"$105,143.27",0.61%,"$2,097,372,964,698",2025-11-12 19:20:18
2,Ethereum,"$3,585.08",0.46%,"$432,706,925,979",2025-11-12 19:20:18
3,Tether,$0.9999,0.01%,"$183,493,091,478",2025-11-12 19:20:18
4,XRP,$2.44,0.50%,"$146,987,549,285",2025-11-12 19:20:18
5,BNB,$975.55,0.60%,"$134,369,604,918",2025-11-12 19:20:18
6,Solana,$160.62,1.77%,"$88,973,051,662",2025-11-12 19:20:18
7,USDC,$0.9999,0.01%,"$76,019,331,968",2025-11-12 19:20:18
8,TRON,$0.3003,0.32%,"$28,435,987,659",2025-11-12 19:20:18
9,Dogecoin,$0.1775,0.23%,"$26,942,682,068",2025-11-12 19:20:18
10,Cardano,$0.5789,0.06%,"$20,766,535,048",2025-11-12 19:20:18
1,Bitcoin,"$103,962.80",0.48%,"$2,073,825,372,891",2025-11-12 20:32:04
2,Ethereum,"$3,501.24",0.63%,"$422,588,343,497",2025-11-12 20:32:04
3,Tether,$0.9999,0.01%,"$183,488,815,106",2025-11-12 20:32:04
4,XRP,$2.41,1.95%,"$145,012,303,623",2025-11-12 20:32:04
5,BNB,$965.94,1.75%,"$133,046,730,868",2025-11-12 20:32:04
6,Solana,$158.59,2.62%,"$87,848,276,088",2025-11-12 20:32:04
7,USDC,$0.9998,0.01%,"$76,019,187,328",2025-11-12 20:32:04
8,TRON,$0.2978,0.52%,"$28,200,962,921",2025-11-12 20:32:04
9,Dogecoin,$0.1753,1.72%,"$26,606,478,515",2025-11-12 20:32:04
10,Cardano,$0.5699,1.83%,"$20,445,427,566",2025-11-12 20:32:04
